TIMESTAMP,REPORT_NAME,EXECUTION_TIME_IN_SECONDS,STATUS
2024-12-13 08:12:30,duk008_xls,748,SUCCESS
2024-12-13 08:24:04,duk008,692,SUCCESS
2024-12-14 08:14:23,duk008_xls,861,SUCCESS
2024-12-14 08:25:57,duk008,691,SUCCESS
2024-12-15 08:12:20,duk008_xls,739,SUCCESS
2024-12-15 08:23:53,duk008,691,SUCCESS
2024-12-16 08:12:44,duk008_xls,762,SUCCESS
2024-12-16 08:24:39,duk008,713,SUCCESS
2024-12-17 08:12:19,duk008_xls,737,SUCCESS
2024-12-17 08:24:04,duk008,702,SUCCESS
2024-12-18 08:13:12,duk008_xls,790,SUCCESS
2024-12-18 08:25:08,duk008,714,SUCCESS
2024-12-19 08:12:18,duk008_xls,737,SUCCESS
2024-12-19 08:23:53,duk008,693,SUCCESS
2024-12-20 08:13:13,duk008_xls,791,SUCCESS
2024-12-20 08:25:10,duk008,715,SUCCESS
2024-12-21 08:12:17,duk008_xls,736,SUCCESS
2024-12-21 08:23:51,duk008,691,SUCCESS
2024-12-22 08:03:20,duk008_xls,169,FAIL
2024-12-22 08:08:05,duk008_xls,189,FAIL
2024-12-22 08:12:44,duk008_xls,188,FAIL
2024-12-22 08:17:04,duk008_xls,164,FAIL
2024-12-22 08:21:34,duk008_xls,169,FAIL
2024-12-22 08:26:18,duk008_xls,183,FAIL
2024-12-22 08:30:53,duk008_xls,174,FAIL
2024-12-22 08:35:13,duk008_xls,164,FAIL
2024-12-22 08:39:38,duk008_xls,164,FAIL
2024-12-22 08:44:08,duk008_xls,174,FAIL
2024-12-22 08:48:42,duk008_xls,183,FAIL
2024-12-22 08:53:32,duk008,189,FAIL
2024-12-22 08:58:02,duk008,169,FAIL
2024-12-22 09:02:47,duk008,184,FAIL
2024-12-22 09:06:42,duk008,174,FAIL
2024-12-22 09:20:55,duk008,792,SUCCESS
2024-12-23 08:12:18,duk008_xls,736,SUCCESS
2024-12-23 08:23:51,duk008,690,SUCCESS
2024-12-24 08:13:46,duk008_xls,824,SUCCESS
2024-12-24 08:25:34,duk008,705,SUCCESS
2024-12-25 08:12:07,duk008_xls,726,SUCCESS
2024-12-25 08:23:42,duk008,692,SUCCESS
2024-12-26 08:12:46,duk008_xls,764,SUCCESS
2024-12-26 08:24:32,duk008,704,SUCCESS
2024-12-27 08:03:15,duk008_xls,174,FAIL
2024-12-27 08:08:04,duk008_xls,188,FAIL
2024-12-27 08:12:14,duk008_xls,169,FAIL
2024-12-27 08:16:06,duk008_xls,136,FAIL
2024-12-27 08:20:36,duk008_xls,169,FAIL
2024-12-27 08:24:36,duk008_xls,149,FAIL
2024-12-27 08:29:00,duk008_xls,169,FAIL
2024-12-27 08:33:10,duk008_xls,174,FAIL
2024-12-27 08:37:39,duk008_xls,173,FAIL
2024-12-27 08:41:54,duk008_xls,174,FAIL
2024-12-27 08:46:24,duk008_xls,168,FAIL
2024-12-27 08:50:42,duk008,162,FAIL
2024-12-27 08:55:16,duk008,174,FAIL
2024-12-27 08:59:36,duk008,164,FAIL
2024-12-27 09:04:05,duk008,169,FAIL
2024-12-27 09:08:15,duk008,154,FAIL
2024-12-27 09:12:44,duk008,174,FAIL
2024-12-27 09:17:08,duk008,173,FAIL
2024-12-27 09:21:53,duk008,184,FAIL
2024-12-27 09:25:57,duk008,169,FAIL
2024-12-27 09:30:07,duk008,153,FAIL
2024-12-27 09:34:16,duk008,164,FAIL
2024-12-27 10:39:27,duk008,311,FAIL
2024-12-27 10:40:29,duk008,0,FAIL
2024-12-27 10:41:30,duk008,1,FAIL
2024-12-27 10:42:33,duk008,0,FAIL
2024-12-27 10:43:35,duk008,1,FAIL
2024-12-27 10:44:36,duk008,1,FAIL
2024-12-27 10:45:37,duk008,1,FAIL
2024-12-27 10:46:38,duk008,1,FAIL
2024-12-27 10:47:39,duk008,1,FAIL
2024-12-27 10:48:42,duk008,1,FAIL
2024-12-27 10:49:43,duk008,0,FAIL
2024-12-27 10:50:45,duk008_xls,0,FAIL
2024-12-27 10:51:45,duk008_xls,0,FAIL
2024-12-27 10:51:48,duk008,706,SUCCESS
2024-12-27 10:52:46,duk008_xls,0,FAIL
2024-12-27 10:53:47,duk008_xls,0,FAIL
2024-12-27 10:54:48,duk008_xls,0,FAIL
2024-12-27 10:55:49,duk008_xls,0,FAIL
2024-12-27 10:56:51,duk008_xls,0,FAIL
2024-12-27 10:57:52,duk008_xls,0,FAIL
2024-12-27 10:58:53,duk008_xls,1,FAIL
2024-12-27 10:59:54,duk008_xls,1,FAIL
2024-12-27 11:00:55,duk008_xls,1,FAIL
2024-12-27 11:04:18,duk008_xls,750,SUCCESS
2024-12-28 08:14:24,duk008_xls,863,SUCCESS
2024-12-28 08:25:46,duk008,680,SUCCESS
2024-12-29 08:12:07,duk008_xls,725,SUCCESS
2024-12-29 08:18:56,duk008,407,FAIL
2024-12-29 08:26:43,duk008,406,FAIL
2024-12-29 08:34:42,duk008,418,FAIL
2024-12-29 08:42:30,duk008,405,FAIL
2024-12-29 08:54:50,duk008,679,SUCCESS
2024-12-30 08:13:12,duk008_xls,790,SUCCESS
2024-12-30 08:24:56,duk008,702,SUCCESS
2024-12-31 08:12:06,duk008_xls,724,SUCCESS
2024-12-31 08:23:28,duk008,679,SUCCESS
2025-01-01 08:13:59,duk008_xls,837,SUCCESS
2025-01-01 08:25:21,duk008,679,SUCCESS
2025-01-02 08:12:18,duk008_xls,736,SUCCESS
2025-01-02 08:23:52,duk008,692,SUCCESS
2025-01-03 08:13:24,duk008_xls,803,SUCCESS
2025-01-03 08:24:45,duk008,679,SUCCESS
2025-01-04 08:11:56,duk008_xls,714,SUCCESS
2025-01-04 08:23:18,duk008,680,SUCCESS
2025-01-05 08:12:59,duk008_xls,778,SUCCESS
2025-01-05 08:24:32,duk008,691,SUCCESS
2025-01-06 08:11:55,duk008_xls,713,SUCCESS
2025-01-06 08:23:17,duk008,680,SUCCESS
2025-01-07 08:13:09,duk008_xls,787,SUCCESS
2025-01-07 08:24:42,duk008,691,SUCCESS
2025-01-08 08:11:55,duk008_xls,714,SUCCESS
2025-01-08 08:23:16,duk008,679,SUCCESS
2025-01-09 08:12:08,duk008_xls,727,SUCCESS
2025-01-09 08:23:29,duk008,678,SUCCESS
2025-01-09 18:31:28,ic01,3087,SUCCESS
2025-01-09 22:21:11,provision,13781,SUCCESS
2025-01-10 03:31:24,accruals,18609,SUCCESS
2025-01-10 08:12:06,duk008_xls,725,SUCCESS
2025-01-10 08:23:28,duk008,679,SUCCESS
2025-01-11 08:13:58,duk008_xls,837,SUCCESS
2025-01-11 08:20:48,duk008,407,FAIL
2025-01-11 08:28:48,duk008,418,FAIL
2025-01-11 08:36:38,duk008,408,FAIL
2025-01-11 08:44:26,duk008,407,FAIL
2025-01-11 08:52:13,duk008,406,FAIL
2025-01-11 09:00:01,duk008,406,FAIL
2025-01-11 09:08:00,duk008,417,FAIL
2025-01-11 09:15:49,duk008,407,FAIL
2025-01-11 09:23:36,duk008,406,FAIL
2025-01-11 09:31:25,duk008,406,FAIL
2025-01-11 09:43:57,duk008,691,SUCCESS
2025-01-12 08:11:57,duk008_xls,715,SUCCESS
2025-01-12 08:23:19,duk008,680,SUCCESS
2025-01-13 08:13:01,duk008_xls,779,SUCCESS
2025-01-13 08:24:35,duk008,691,SUCCESS
2025-01-14 08:12:17,duk008_xls,736,SUCCESS
2025-01-14 08:23:50,duk008,690,SUCCESS
2025-01-15 08:12:29,duk008_xls,748,SUCCESS
2025-01-15 08:24:03,duk008,691,SUCCESS
2025-01-16 08:12:18,duk008_xls,736,SUCCESS
2025-01-16 08:23:53,duk008,693,SUCCESS
2025-01-17 08:13:35,duk008_xls,814,SUCCESS
2025-01-17 08:26:05,duk008,745,SUCCESS
2025-01-18 08:12:18,duk008_xls,736,SUCCESS
2025-01-18 08:23:52,duk008,692,SUCCESS
2025-01-19 08:14:46,duk008_xls,884,SUCCESS
2025-01-19 08:26:21,duk008,693,SUCCESS
2025-01-20 08:12:18,duk008_xls,736,SUCCESS
